s,a,style_name,action_name,mass,mass_frac,vx_last_mean,vx_last_std,vx_slope_mean,vx_slope_std,ax_last_mean,ax_last_std,vy_last_mean,vy_last_std,vy_slope_mean,vy_slope_std,ay_last_mean,ay_last_std,ax_neg_frac_mean,ax_neg_frac_std,ax_pos_frac_mean,ax_pos_frac_std,ax_zero_frac_mean,ax_zero_frac_std,ay_neg_frac_mean,ay_neg_frac_std,ay_pos_frac_mean,ay_pos_frac_std,ay_zero_frac_mean,ay_zero_frac_std,jerk_x_p95_mean,jerk_x_p95_std,jerk_y_p95_mean,jerk_y_p95_std,lc_left_present_mean,lc_left_present_std,lc_right_present_mean,lc_right_present_std,d_left_lane_last_mean,d_left_lane_last_std,d_left_lane_min_mean,d_left_lane_min_std,d_right_lane_last_mean,d_right_lane_last_std,d_right_lane_min_mean,d_right_lane_min_std,front_exists_frac_mean,front_exists_frac_std,left_side_exists_frac_mean,left_side_exists_frac_std,right_side_exists_frac_mean,right_side_exists_frac_std,left_front_exists_frac_mean,left_front_exists_frac_std,right_front_exists_frac_mean,right_front_exists_frac_std,front_dx_min_mean,front_dx_min_std,front_dvx_slope_mean,front_dvx_slope_std,left_side_dy_last_mean,left_side_dy_last_std,right_side_dy_last_mean,right_side_dy_last_std,front_thw_last_mean,front_thw_last_std,front_ttc_min_mean,front_ttc_min_std
0,0,style_0,action_0,59811.8929411496,0.04979776195381251,30.297948427796673,6.386594109105066,0.0011401033577347023,0.014115410855805656,0.015472800684189754,0.37634029596986074,0.10384629218266608,0.5802830781838404,0.0021155768435310108,0.00859368668999575,0.0419280923937419,0.20029035818008434,0.47602195894976956,0.44780683576935004,0.507950457370406,0.4482733833330644,0.01602758367982225,0.043738706235864074,0.3728043031436307,0.3902860215413311,0.6031225565136299,0.3974728645425191,0.024073140342734285,0.04286034526364897,0.14931780059008587,0.18893596115514152,0.17244050964778576,0.16572504540208782,0.15012510709438176,0.35719400794845674,0.1722983020512512,0.37763950688653725,1.9901467011546656,0.9574711909710176,1.1965326864425352,0.959166359957673,1.797180348764921,0.9625862283377036,1.012879603483011,0.8975859322282521,0.7786038072429501,0.361721882179661,0.07570340874875141,0.21325243935968508,0.1324827139308696,0.2651517135399475,0.474627227185254,0.44968772708644156,0.673976642664457,0.4236311637571606,66.4429053421742,58.492819139947805,0.00518304089987491,0.1250280763073983,-4.385913088904067,0.7504454914498129,4.411025426815483,0.7410159840454619,2.418370603329629,2.117661771220387,56.5727526366733,145.15998018320104
0,1,style_0,action_1,142779.4355841806,0.1188742906384276,26.101799254326,5.5424369644889895,-0.0014310025582073508,0.003796276242874432,-0.04654139980135911,0.1375340538290553,0.008922254927446305,0.0789429569778686,0.000492975269249432,0.0020896396414651747,0.010144830208622568,0.04741448903221279,0.645453166068356,0.35052104567608044,0.304804376627803,0.3271844348566627,0.049742457303858484,0.08688329717045129,0.34287204542831,0.33613769434751567,0.5417103781509298,0.36527479738843477,0.115417576420767,0.14631485657705767,0.12251567942067308,0.14534729577211167,0.11259794064210127,0.11871848103051251,3.1857883135497645e-10,1.7848776743897157e-05,1.8319853819225629e-06,0.0013535073053929643,1.9397509207144326,0.3387373263855585,1.8808017853316572,0.3386409442467409,1.9262499871165988,0.32233264393458205,1.8629303411173908,0.328312059018236,0.9992708915934517,0.0066662307049140555,0.18486765494482052,0.3450919594334669,0.13745601753980002,0.3096290451621,0.5802097620702087,0.48019278000707594,0.500285549830094,0.4952754853341424,70.02543181926264,46.77032317212988,0.0006024737246568855,0.009643704160217094,-4.064109678552821,0.3863600413901866,4.08795215843367,0.36999988743857376,2.4655006269494115,1.850027534601736,117.47613090942951,175.42087453807224
0,2,style_0,action_2,281043.79073933087,0.23398944761043874,28.605189366217207,7.53557123931166,0.010769103342981638,0.007595451236832393,0.26270809014878493,0.19704602229829873,0.007511824626032013,0.09630025829198863,0.00014118327161176977,0.0025876376111437956,0.004485082257335549,0.06003200797121179,1.86429767280183e-35,6.106222519367976e-19,1.0,0.0,0.0,0.0,0.4395221675319184,0.39572835106777693,0.4632021246168127,0.398462513683413,0.09727570785126186,0.14934045135049542,0.15168080031172548,0.13733399603393823,0.10498245738820247,0.117952681829194,1.2008051599028338e-05,0.0034652427628847496,3.057196480824067e-05,0.005529107537678069,1.8228961898486058,0.35490356972379,1.7510211679591292,0.35320291960676503,1.9843729232560834,0.3575817094975239,1.919428947461134,0.374945261383561,0.822746928492523,0.344814456193443,1.7716965778186193e-43,1.7857922163772344e-22,0.18328951497523174,0.3331687424311106,0.3684382024964756,0.4707497663051623,0.79012072655701,0.381777410545589,58.556640409873836,44.897930511811346,-0.004733297705124144,0.01315084019670986,-1.0353744286346002e-21,6.244033418952032e-11,4.072859549942021,0.39301926480212945,1.9736782904323713,1.38407040416278,113.78374518775667,181.55213062089547
0,3,style_0,action_3,258485.44436073623,0.21520797944760697,25.70367182110187,8.514105288683316,-0.013480410951518229,0.011407572278509111,-0.3185418868133892,0.3006779033814937,0.005294880763567061,0.08633746744619077,4.2494237030574215e-05,0.002384620596294815,0.002123700963937435,0.052562141531412906,1.0,0.0,0.0,0.0,0.0,0.0,0.4285560238023964,0.38781173716205924,0.45795115553679905,0.3910042228056857,0.11349282066079967,0.1672578260604986,0.16183175946334455,0.17832613863625257,0.10266151050961969,0.11726315097752764,3.2997051142217414e-06,0.0018165060490314643,1.4591637479959067e-05,0.0038198723230069773,1.8856748237025411,0.36502702932447545,1.818913129730573,0.3682129122907457,1.9150496113225182,0.3640788909851376,1.855756097377257,0.3736760046411855,1.0,0.0,0.1144784032255195,0.2776992841471219,0.1811633933146969,0.3375670545946424,0.5554846767368231,0.49019768497027527,0.8103824228197016,0.3842542978551113,50.22955407756858,39.42789568585542,0.006884761595172038,0.015849459523573233,-4.052962857241435,0.39852985335697383,4.062295507195174,0.38526869821219567,1.7708610494944064,1.2770219352466445,53.244578880447385,94.25839079107233
0,4,style_0,action_4,92513.22694222866,0.07702400687069093,22.38478449336039,4.653837180222191,0.004560460097074862,0.0034306722122196143,0.1111147847320273,0.08818551288721857,0.007162425952510185,0.07928719574779815,-7.052560891877569e-05,0.0021765205192783247,-0.0013890266716311181,0.04869165085540237,0.0,0.0,1.0,0.0,0.0,0.0,0.4590884149307227,0.3905200154045593,0.42203624074659035,0.38666297466273813,0.118875344322684,0.17434570794396614,0.10910725070140234,0.11920516723694419,0.09604828442803537,0.11588132795311848,3.637761363334118e-10,1.907291630037417e-05,5.5117651529924285e-19,7.424126314248989e-10,2.1952366915684376,0.31775649037609077,2.1304621231659824,0.31341672988788744,1.7554497273135414,0.323618783110734,1.7075819137973267,0.3251013443578677,0.7317331399518572,0.414915366854042,0.3390294844699277,0.41541754790492286,1.0773253152628535e-41,9.283642885259444e-22,0.827608250390258,0.337242737732932,0.08055347086651972,0.2682044271369293,83.61133596306955,48.85623929415305,-0.0015357889318119021,0.007648671554939792,-4.232581120552472,0.39600717309851896,4.6794958768163596e-20,4.1952652716401096e-10,3.382464630035474,2.2193391516517127,273.1608315109263,512.4145885873855
1,0,style_1,action_0,68214.97295629229,0.05679393876240545,27.737644240193095,6.449722211380283,-0.0010643936154428838,0.007451364092964046,-0.01931592094877385,0.21865898030349068,-0.08305549898488114,0.22325472051621792,-0.004417028383141512,0.004214103244224667,-0.0851500419684887,0.09139065091319717,0.5803460802916631,0.40136743481833137,0.38434653891764786,0.3919613914153778,0.035307380790690394,0.06950131364992695,0.9998364866483623,0.001800980403505294,3.7410549670725877e-07,8.649838136764474e-05,0.0001631392461427655,0.0017989359380542918,0.15032389265099605,0.15863823994477164,0.1014847705346599,0.11882451729051281,0.0001251419485286556,0.011185986233737911,0.0054439359178110195,0.07358192359223688,2.0048618499176962,0.5039104508072524,1.8582816876051431,0.6088238148667986,1.8349745338822268,0.487178038112476,1.711287399875302,0.4167125849115203,0.7362476768164843,0.39672631736622305,0.15652963907196255,0.31349130082224613,0.0033446441243658773,0.0239489060581689,0.6020828109073862,0.4584103063600943,0.43889920128392684,0.4806047850203443,74.36374580716287,58.293294162970064,0.0008209035889091628,0.012212887610676343,-4.191453882218659,0.4418629746480828,4.201341640635956,0.5617832259958586,2.474353272328891,2.04397606381082,82.24081208098536,151.8044076021429
1,1,style_1,action_1,129538.6818606989,0.10785039773706499,22.954539904706074,7.752508707707447,0.0029064004565821666,0.00660650107712155,0.06908886113817404,0.2027689280705653,0.007363358133468468,0.07497633206040412,6.180349894801088e-05,0.001929883308657862,0.00023137027972678988,0.04439425002529129,0.32213192935695095,0.33060662372106886,0.636460650466649,0.3481668129444781,0.041407420176404364,0.07422104581302419,0.4280809938802185,0.3793434928564348,0.4440061845159833,0.38239474667878,0.12791282160379616,0.17718681869942818,0.1532531296060748,0.1638864185150748,0.09574076787632274,0.11539329997754069,1.0216812420654276e-14,1.0107824899875428e-07,1.7308331410105358e-10,1.315611318251313e-05,1.9307834338358263,0.3481143901120015,1.8683837706829625,0.3506501079828774,1.8581878950963573,0.3259989026232263,1.8077591804055813,0.32883251614934433,1.0,0.0,0.3448215148104299,0.3963131232559469,0.16527363738947462,0.3369276778712326,1.0,0.0,0.6666247170203684,0.4661012582022938,47.235045207977116,33.88872507091092,-0.0011271309936545706,0.011119526042870871,-4.035045809197139,0.38837446854392405,4.088501305792247,0.3624298687666316,2.005128508894927,15.849426914990564,202.32763915665336,968.504048217936
1,2,style_1,action_2,99866.39230887117,0.08314605318170415,28.266958229348248,6.63434160023605,-0.0018699530277725969,0.005793349844400439,-0.0331998611672066,0.1627925422879091,0.030105610151268305,0.09351906018611145,0.0007374049035959666,0.0021966550060395023,0.02089401294866811,0.05739597714045825,0.662711353591777,0.3949397254251484,0.2963117625706744,0.3758035679716365,0.04097688383755755,0.09123954504300519,0.3010892081361857,0.3376224343577555,0.5940928999377254,0.3770652767394629,0.10481789192609428,0.1537812993117475,0.1474440354068179,0.1345457860458632,0.1126944259790877,0.11927302745869274,3.9741113726024736e-05,0.006303930073367292,0.0003019270147126895,0.017373423807369583,1.9676626302551539,0.3374832773918588,1.891257406475568,0.3302827241418241,1.849340389905228,0.3219255072179491,1.7951540173681781,0.3204134155364773,0.3089325390478475,0.3450034419942058,0.18305735825134378,0.33447145126354394,0.15623405886883135,0.3211069922058131,0.43650800122769984,0.4450536856519196,0.4260689202278723,0.4563686429634789,96.73962667370827,73.67317667540877,0.0031154231290626048,0.01179386674364905,-4.0224750580483875,0.3844618710660247,4.055975197371374,0.35986582499029357,3.2642801615058223,2.652676734416471,705.2913873703926,2577.513152049046
1,3,style_1,action_3,25594.963944665862,0.021309673696282568,16.467074324593412,9.890382928926519,-0.026150040290982387,0.025746791525897792,-0.6530559899650499,0.6659751078508269,0.012801788638585112,0.06381402964792922,0.0001718490546316438,0.0015445077861089196,0.003840871889925552,0.03760040554493907,0.9884818124477769,0.07184961907676526,0.008183282043203535,0.0556418258180245,0.0033349055090173755,0.03213598648719291,0.35461230112450404,0.3568905011367129,0.44135262094499284,0.3803044801388372,0.20403507793050724,0.2589250850608577,0.18285127609299945,0.3145977798026145,0.07695124346395786,0.10870739185266959,7.161403752858743e-18,2.676079922733763e-09,6.0860161870754135e-22,2.4669852425734965e-11,1.9994260097296523,0.35679837972123263,1.9471700892672235,0.35613042310182086,1.8737798267404835,0.3379556885378021,1.839234202154097,0.3340049877216765,0.7182534311679617,0.3878557635052346,0.36217414810581966,0.43355621919025994,0.16419971706962605,0.3284726863305594,0.6257560361396162,0.4527015307248276,0.3565890099217844,0.4524201133098639,40.801576893574854,25.96627091965169,0.008240544020601799,0.031169696944204458,-4.087386126654647,0.3795275878438845,4.099375573055509,0.37839611455037625,176.3094789099312,3416.153266999304,33.37363432762853,85.0909398901576
1,4,style_1,action_4,43247.20337157322,0.03600645010156617,17.901565975248367,9.470656781129856,0.0053078645627635465,0.014032837378664485,0.2063583977056055,0.3958300267235439,0.005907912094415967,0.05792330640705948,7.263816374919059e-05,0.0014713265859972423,0.001670190206587217,0.03311100635308836,0.3679853822755803,0.36703605161288105,0.6172128513755544,0.36979341007184147,0.014801766348855652,0.02265029864772769,0.3721642822779073,0.3545749961210253,0.4200954767830566,0.3678973294591812,0.2077402409390229,0.24957258539599655,0.28272403469052515,0.2760266995042571,0.07829002904247671,0.10887514499888316,2.5290103800018143e-10,1.5902862570500396e-05,0.00028618536421801957,0.01691459317144007,1.7772836629241244,0.3615255021942516,1.7307504246436907,0.36163610642395433,2.0570163358712126,0.35605324749514095,2.0185156524637358,0.3583109157383994,0.9985210492999913,0.017102181863562976,0.2679975085981098,0.39730677613305376,0.3768767250425244,0.44141032623353316,0.4703637804252315,0.4882750694524361,0.7689772733900725,0.4152647723437431,36.23708904961371,23.543344391243373,0.0007214254513747404,0.025186496969587285,-4.0244165929246565,0.3688326530598313,4.149348229809126,0.38816946270415764,2.1037219521349475,1.5948080863772947,10889.877114637267,230616.70578426632
